run_at,source,survey_id,survey_name,weekly_new,total_feedbacks,nps
2026-09-21,zenloop,TkRBMU9EY3lOamt0WkdWaU15MDBPV1l5TFdJME5qWXRZakk0TkRSbU1tVmxOV1k0,ventanas.es - Mercancía en fabricación,131,131,55
2026-09-21,zenloop,TkdSaU9XTm1Nall0WXpabVlTMDBPV0V4TFRoa1pXUXRNbVkzT0RVelpESmxNVEkz,haustüren.de - Ihr Liefertermin,22,22,32
2026-09-21,zenloop,WlRWaE1EZzROV1V0WkRnd09TMDBaVGd3TFRnNVpqWXRaalExT1RRME5EUmhPR1U1,fensterversand.ch - Ihr Liefertermin,36,36,8
2026-09-21,zenloop,TjJReU5EZG1abUl0TkRJMU5TMDBOVFkxTFRneE5qRXRNMkl3Tm1NNU16WmhORFUz,fensterversand.at - Ihr Liefertermin,231,231,35
2026-09-21,zenloop,T0RBeVlqRTRNVEl0WTJZMll5MDBZVFUwTFRnM04ySXRPV1k0TWpGaE56ZGxZVGN6,finestre.com - La tua data di consegna,123,123,60
2026-09-21,zenloop,WmpZME5UQmpZek10T0dRek55MDBPV0k1TFRrNFpUTXRaVEV5TW1ZeE1qaG1OR1Zr,fenetre24.be - Votre date de livraison,87,87,46
2026-09-21,zenloop,TWpBek5USmtaV010WXpNNFl5MDBOalptTFRnMk4yRXROR1UxWm1WbU1HSmtNRFl5,ventanas - Su fecha de entrega,5,5,100
2026-09-21,zenloop,TmpGak5HTTJNelF0TXpkbE9TMDBPVGMzTFdFM05EQXRNek0zTUdZMU0yUTRaR0Zr,fenetre24.com - Votre date de livraison,1024,1024,58
2026-09-21,zenloop,T1dNM1ptWmlZVEF0TVdZME15MDBNRGs0TFdJNE9USXRNbU5sTm1GbE9XVXpOV0V3,fensterversand.com - Ihr Liefertermin,2243,2243,32
2026-09-21,zenloop,WmpVM1lqZ3laalV0WmpObFl5MDBNbVEzTFdJeVpqUXRNV1l6Wm1NeVpEWmlZak16,finestre.com - Produzione in corso,440,440,72
2026-09-21,zenloop,T0dOaFpUWXpZbVV0WkRWbVlTMDBZMkU1TFRrMk16a3ROak0yTnpNME16ZzFZV001,haustueren.de - Ware in Produktion,42,42,69
2026-09-21,zenloop,TWpka04yTXdNRGN0T1dFd1lpMDBZV1UxTFdKa1pXWXRNVEZtTkRVellUQm1Zak0z,fensterversand.at - Ware in Produktion,675,675,64
2026-09-21,zenloop,T0dNNU4yRTNNV0l0TnpsbFlpMDBNelJsTFRobE16VXRNVEl4WlRVeE1HWXhNV1Jq,fenetre24.be - Production en cours,251,251,81
2026-09-21,zenloop,WTJRd1lqUTRabUV0WXpFNU5TMDBObVZoTFdKaE1qVXRZVGMxT0dOa05XTmhZelkz,fensterversand.ch - Ware in Produktion,305,305,65
2026-09-21,zenloop,WXpRMk1EbGhaR0l0TTJabVpTMDBZVGRqTFRsbVlURXRZV1ZqWXpkaVltWXdZMkpr,fves - NPS Delivery,194,194,46
2026-09-21,zenloop,T0dJeE5EazJPVE10WWpSbU9DMDBZamhoTFRrMll6QXRaR1U0TjJVNE1URTBPVEl3,fenetre24.com - Production en cours,1853,1853,74
2026-09-21,zenloop,TlRNell6VTJZMlV0WXpZd05DMDBOMkl4TFRsa1kySXROVFZpWkdKaVlXVTVZakk0,fensterversand.com - Ware in Produktion,3894,3894,64
2026-09-21,zenloop,TlRSaE1USmxNV1V0TlRRek1DMDBZVEE1TFdFeU9EWXRObU01T0dJMlpHVmlORE15,htde - NPS Delivery,252,252,53
2026-09-21,zenloop,TlRKbU5qa3dZemN0T1dFNFpDMDBPRFkwTFRsa04yTXRaVGhtTnpaaVpXSTFaV1V4,fvit - NPS Delivery,879,879,67
2026-09-21,zenloop,TnpJMU1ETTVNV0l0WWpBNU5pMDBObVV6TFdGbU16VXRZV0V6TXpOaFpETXpaVEkx,fvch - NPS Delivery,1119,1119,48
2026-09-21,zenloop,WXpkbVlqazFNbUl0T0RnMk1DMDBPR0ZrTFdGaU1tRXRaVEkyTkRZM1lUZGlOMkps,fvat - NPS Delivery,3079,3079,66
2026-09-21,zenloop,WldJNFlqQTJaRFl0TVRnNE9TMDBNbUl4TFdFMU9XWXROakExTVRrNVpERmxPVGcw,fvbe - NPS Delivery,776,776,53
2026-09-21,zenloop,UENhN3NZZVBYSCtVNlZCbmE2WldMaXplYmxDa3ZVaVNrS2EzWTNFaUcvMD0=,Stage Zenloop - All Surveys,83,83,44
2026-09-21,zenloop,Y2R0bnROdW5mc3dtYk81WHh5SXlHaG1lWkp6M1FYWkliTEZubkNleThRRT0=,fvfr - NPS Delivery,5986,5986,47
2026-09-21,zenloop,WWd5TWpLMVJ1bVJGMzROZXo3UlZuSzNnZmtLTFh5NTBlek5iYUE3WU0xRT0=,fvde - NPS Delivery,26114,26114,52
